parish;lat;long
Agerskov;9.129243;55.128751
Als;10.287372;56.755434
Ansager;8.755025;55.703423
Arnborg;8.990251;56.014387
Arup;8.922354;57.005745
Asdal;10.028146;57.549359
Asserballeskov;10.000838;54.968041
Assing;8.850158;56.013142
Astrup;10.093226;57.479141
AsåMelholt;10.352522;57.102262
Ballum;8.67064;55.087817
Bejstrup;9.333917;57.036059
Biersted;9.804757;57.150468
Bigum;9.657637;56.541816
Bindslev;10.199232;57.541566
Bjolderup;9.253949;54.995001
Bording;9.276602;56.144374
Borris;8.647713;55.958293
Brande;9.128795;55.942686
Bredsten;9.384263;55.702828
Bredstrup;9.666708;55.591134
Brovst;9.522159;57.096451
Brøns;8.726126;55.193408
Bure;8.427153;56.366803
Bylderup;9.10273;54.945299
Børglum;9.838681;57.364426
Daugård;9.708834;55.733915
Dronninglund;10.289422;57.158363
Døstrup;8.808184;55.118845
Egens;10.515368;56.269754
Egtved;9.312292;55.617559
Egvad;8.524993;55.885407
Elling;10.477864;57.476802
Emmerlev;8.672312;54.984144
Engum;9.657435;55.742323
Erritsø;9.715704;55.541367
Farstrup;9.460891;56.983529
Fjellerup;10.587443;56.505743
Fjelstrup;9.562295;55.321973
Fjelsø;9.433884;56.664991
Flade;10.467203;57.42353
Flejsborg;9.338485;56.860866
Fly;9.009511;56.490777
Framlev;10.011163;56.155893
Fruering;9.990465;56.034989
Fræer;9.932197;56.859254
Fur;9.019039;56.826423
Fåborg;8.739093;55.586947
Gassum;9.998241;56.575571
Gjerrild;10.828074;56.503098
Åbenrå;9.415159;55.040852
Give;9.237394;55.844405
Giver;9.582515;56.824055
Glenstrup;9.851212;56.585152
Gram;9.049475;55.289834
Gudum;8.46018;56.520964
Gøl;9.716791;57.068649
Klim;9.166193;57.095486
Hald;10.110435;56.556857
Halk;9.641821;55.201777
HalsJylland;10.308609;56.996636
Handbjerg;8.721233;56.472082
Hansted;9.846178;55.895389
Harboør;8.180161;56.61648
Haverslev;9.680262;56.787095
Havnbjerg;9.788452;55.038441
Hejnsvig;8.998146;55.69455
Helgenæs;10.508165;56.110102
Hellum;9.956591;56.819864
Hem;8.958725;56.595561
Henne;8.227658;55.716188
Hjardemål;8.811705;57.055289
Hjerndrup;9.417291;55.333387
Hjerpsted;8.657768;55.021206
Hjortdal;9.355135;57.135409
Holbøl;9.440482;54.893318
Homå;10.811237;56.362772
Hoptrup;9.455884;55.180444
Horne;8.532052;55.723391
Hostrup;8.964952;54.947278
Lihme;8.731763;56.600075
Lild;8.967055;57.149536
Lindeballe;9.243306;55.770484
Lindum;9.682979;56.560851
Lovns;9.225805;56.687334
Ølgod;8.618423;55.807331
Læsten;9.812117;56.49476
Løgumkloster;8.953505;55.05908
Låstrup;9.386615;56.581455
Malle;9.237217;56.915797
Mou;10.223122;56.96757
No;8.318941;56.111905
Notmark;9.935344;54.979067
Nørholm;9.737577;57.037145
Nørhå;8.440297;56.902321
Odby;8.528595;56.608
Oddense;8.932275;56.653872
Oddum;8.593174;55.874475
Oksbøl;8.280186;55.628039
Overlade;9.265128;56.858103
Ramsing;8.841128;56.59673
Ravnkilde;9.752269;56.755798
Rejsby;8.723721;55.232638
Rimsø;10.797277;56.479086
Rostrup;9.929933;56.730349
Rær;8.665853;57.094564
Rødding;9.05855;55.366755
Rørbæk;9.71361;56.705675
Råbjerg;10.355295;57.62544
Råsted;9.948457;56.513659
SønderNissum;8.187069;56.306702
Saltum;9.697356;57.271724
SønderOmme;8.892763;55.838615
SønderFelding;8.782893;55.941835
SønderStenderup;9.61371;55.462405
SønderVilstrup;9.565866;55.5525
Sebber;9.537467;56.962391
Seem;8.820602;55.312009
Skagen;10.579186;57.725004
Øland;9.601793;57.06187
Skals;9.40245;56.557497
Skarresø;10.52312;56.359246
Skjern;8.500266;55.944128
Skjellerup;9.862249;56.627612
Skrave;9.106831;55.410892
Skæve;10.30973;57.288059
Vust;9.069153;57.114124
Sneum;8.639434;55.458886
Snæbum;9.646645;56.645113
Sommersted;9.295314;55.318355
Stagstrup;8.587174;56.872757
Stepping;9.357267;55.355116
Strandby;10.494117;57.493753
Timring;8.739473;56.176431
Sæby;10.516628;57.33087
Taps;9.477713;55.395405
Tavlov;9.610191;55.538146
Jegindø;8.615121;56.651354
Jels;9.204879;55.355115
Jernved;8.788453;55.417207
Junget;9.099179;56.762945
Karlby;10.284391;56.350949
Kegnæs;9.926471;54.869984
Ketting;9.898683;54.965843
Kliplev;9.399995;54.937021
Koed;10.568294;56.374379
Kærby;10.063028;56.5988
Hundborg;8.507964;56.926898
Hundslund;10.05298;55.914335
Hune;9.615316;57.247743
Husby;8.180036;56.279582
Hygum;9.434647;55.776159
HøjerFlække;8.698122;54.962426
Hørning;10.037798;56.087627
Hørup;9.103857;54.740582
Ingstrup;9.712064;57.312663
Tinglev;9.250136;54.93447
Tirslund;9.141385;55.210623
Tjæreborg;8.582441;55.463613
Toftlund;9.068543;55.188494
Tornby;9.947686;57.530561
Torslev;9.484532;57.074106
Torstrup;8.57339;55.671024
Torup;9.123734;57.102924
Tyrstrup;9.485037;55.347862
Tørring;9.484523;55.853668
TårsJylland;10.114035;57.385073
Ubjerg;8.856347;54.913432
Udbyneder;10.23636;56.660659
Ulfborg;8.318263;56.273653
Understed;10.460181;57.367524
Uth;9.871683;55.819276
Vadum;9.857101;57.11778
Vamdrup;9.287362;55.430017
Vang;8.511164;56.983868
Varde;8.48215;55.623151
Varnæs;9.568028;55.014441
Veggerby;9.637543;56.898358
Vejrup;8.781134;55.520518
Vejstrup;9.534475;55.395052
VesterNebel;9.407147;55.565262
VesterVedsted;8.679803;55.291003
Vindblæs;10.143499;56.673271
Visby;8.781598;55.009799
Viuf;9.491605;55.587539
Vodder;8.843961;55.220426
Voer;10.351067;57.240339
Vojens;9.301965;55.249489
Volstrup;10.439304;57.328075
Vonsbæk;9.601395;55.285151
Vroue;9.03244;56.439783
Ydby;8.410997;56.709078
Ørslevkloster;9.217986;56.599243
Ørsted;10.33855;56.498357
Ørum;9.953579;56.401027
Øsby;9.63989;55.252395
ØsterAlling;10.315993;56.411596
ØsterAssels;8.695244;56.701838
ØsterHøjst;9.037418;55.001848
ØsterLøgum;9.359392;55.116047
ØsterStarup;9.443983;55.597991
ØsterVelling;9.855122;56.429225
ØsterTørslev;10.187465;56.581027
Åsted;8.989745;56.76988
Års;9.510164;56.804489
Åstrup;9.549153;55.262434
Sødring;10.316402;56.629206
Vejle;9.536354;55.711311
Kollerup;9.469154;55.781278
Vejlby;9.722579;55.606995
Møgeltønder;8.800613;54.944661
Svenstrup;9.833084;55.026653
Ajstrup;9.984156;57.177337
